PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Washington,2017,44,X,0.618453,X,X,X,X,X,X,49,37,7923
States,Washington,2017,45,X,0.668612,X,X,X,X,X,X,55,49,8226
States,Washington,2017,46,X,0.593267,X,X,X,X,X,X,43,49,7248
States,Washington,2017,47,X,0.845538,X,X,X,X,X,X,56,49,6623
States,Washington,2017,48,X,0.792572,X,X,X,X,X,X,70,49,8832
States,Washington,2017,49,X,0.417101,X,X,X,X,X,X,20,45,4795
States,Washington,2017,50,X,0.549692,X,X,X,X,X,X,25,46,4548
States,Washington,2017,51,X,1.19193,X,X,X,X,X,X,39,46,3272
States,Washington,2017,52,X,4.89337,X,X,X,X,X,X,257,38,5252
States,Washington,2018,1,X,5.47019,X,X,X,X,X,X,267,43,4881
States,Washington,2018,2,X,4.08874,X,X,X,X,X,X,352,49,8609
States,Washington,2018,3,X,3.66197,X,X,X,X,X,X,286,50,7810
States,Washington,2018,4,X,3.96689,X,X,X,X,X,X,345,50,8697
States,Washington,2018,5,X,3.11633,X,X,X,X,X,X,247,49,7926
States,Washington,2018,6,X,2.52313,X,X,X,X,X,X,210,51,8323
States,Washington,2018,7,X,2.24315,X,X,X,X,X,X,181,51,8069
States,Washington,2018,8,X,2.41129,X,X,X,X,X,X,176,51,7299
States,Washington,2018,9,X,2.09862,X,X,X,X,X,X,123,48,5861
States,Washington,2018,10,X,1.75936,X,X,X,X,X,X,93,43,5286
States,Washington,2018,11,X,2.63401,X,X,X,X,X,X,114,42,4328
States,Washington,2018,12,X,2.08603,X,X,X,X,X,X,113,43,5417
States,Washington,2018,13,X,1.67348,X,X,X,X,X,X,86,42,5139
States,Washington,2018,14,X,1.37153,X,X,X,X,X,X,79,44,5760
States,Washington,2018,15,X,0.889838,X,X,X,X,X,X,50,43,5619
States,Washington,2018,16,X,0.804932,X,X,X,X,X,X,47,43,5839
States,Washington,2018,17,X,0.389972,X,X,X,X,X,X,21,42,5385
States,Washington,2018,18,X,0.423573,X,X,X,X,X,X,23,42,5430
States,Washington,2018,19,X,0.519967,X,X,X,X,X,X,25,42,4808
States,Washington,2018,20,X,0.450547,X,X,X,X,X,X,21,41,4661
States,Washington,2018,21,X,0.254453,X,X,X,X,X,X,11,39,4323
States,Washington,2018,22,X,0.101729,X,X,X,X,X,X,1,31,983
States,Washington,2018,23,X,0.126743,X,X,X,X,X,X,1,19,789
States,Washington,2018,24,X,0.301694,X,X,X,X,X,X,13,35,4309
States,Washington,2018,25,X,0.336619,X,X,X,X,X,X,14,34,4159
States,Washington,2018,26,X,0.475475,X,X,X,X,X,X,19,34,3996
States,Washington,2018,27,X,0.310078,X,X,X,X,X,X,12,34,3870
States,Washington,2018,28,X,0.205814,X,X,X,X,X,X,8,34,3887
States,Washington,2018,29,X,0.225677,X,X,X,X,X,X,9,34,3988
States,Washington,2018,30,X,0.288714,X,X,X,X,X,X,11,34,3810
States,Washington,2018,31,X,0.134553,X,X,X,X,X,X,5,34,3716
States,Washington,2018,32,X,0.261694,X,X,X,X,X,X,8,30,3057
States,Washington,2018,33,X,0.133761,X,X,X,X,X,X,5,30,3738
States,Washington,2018,34,X,0.169887,X,X,X,X,X,X,8,30,4709
States,Washington,2018,35,X,0.183007,X,X,X,X,X,X,7,31,3825
States,Washington,2018,36,X,0.259235,X,X,X,X,X,X,12,31,4629
States,Washington,2018,37,X,0.339051,X,X,X,X,X,X,17,31,5014
States,Washington,2018,38,X,0.409082,X,X,X,X,X,X,20,32,4889
States,Washington,2018,39,X,0.22417,X,X,X,X,X,X,11,21,4907
States,Washington,2018,40,X,0.34384,X,X,X,X,X,X,24,29,6980
States,Washington,2018,41,X,0.507963,X,X,X,X,X,X,37,29,7284
States,Washington,2018,42,X,0.32548,X,X,X,X,X,X,21,28,6452
States,Washington,2018,43,X,0.446229,X,X,X,X,X,X,30,29,6723
States,Washington,2018,44,X,0.420954,X,X,X,X,X,X,27,28,6414
States,Washington,2018,45,X,0.49554,X,X,X,X,X,X,30,28,6054
States,Washington,2018,46,X,0.487559,X,X,X,X,X,X,29,28,5948
States,Washington,2018,47,X,0.744971,X,X,X,X,X,X,30,27,4027
States,Washington,2018,48,X,0.665668,X,X,X,X,X,X,40,25,6009
States,Washington,2018,49,X,0.608632,X,X,X,X,X,X,33,27,5422
States,Washington,2018,50,X,0.739939,X,X,X,X,X,X,41,28,5541
States,Washington,2018,51,X,0.928793,X,X,X,X,X,X,39,28,4199
States,Washington,2018,52,X,1.31694,X,X,X,X,X,X,45,28,3417
States,Washington,2019,1,X,1.38619,X,X,X,X,X,X,57,28,4112
States,Washington,2019,2,X,1.45493,X,X,X,X,X,X,82,28,5636
States,Washington,2019,3,X,1.60766,X,X,X,X,X,X,94,28,5847
States,Washington,2019,4,X,1.87949,X,X,X,X,X,X,102,27,5427
States,Washington,2019,5,X,2.15124,X,X,X,X,X,X,132,25,6136
States,Washington,2019,6,X,2.1666,X,X,X,X,X,X,103,23,4754
States,Washington,2019,7,X,3.32863,X,X,X,X,X,X,165,25,4957
States,Washington,2019,8,X,2.22108,X,X,X,X,X,X,130,25,5853
States,Washington,2019,9,X,2.24244,X,X,X,X,X,X,138,28,6154
States,Washington,2019,10,X,3.28871,X,X,X,X,X,X,199,27,6051
States,Washington,2019,11,X,4.59497,X,X,X,X,X,X,232,28,5049
States,Washington,2019,12,X,3.77262,X,X,X,X,X,X,221,28,5858
States,Washington,2019,13,X,2.33898,X,X,X,X,X,X,138,28,5900
States,Washington,2019,14,X,1.46951,X,X,X,X,X,X,80,27,5444
States,Washington,2019,15,X,0.857093,X,X,X,X,X,X,49,28,5717
States,Washington,2019,16,X,0.706952,X,X,X,X,X,X,42,28,5941
States,Washington,2019,17,X,0.4111,X,X,X,X,X,X,24,28,5838
States,Washington,2019,18,X,0.555024,X,X,X,X,X,X,29,17,5225
States,Washington,2019,19,X,0.50958,X,X,X,X,X,X,25,26,4906
States,Washington,2019,20,X,0.383632,X,X,X,X,X,X,18,26,4692
States,Washington,2019,21,X,0.507731,X,X,X,X,X,X,22,12,4333
States,Washington,2019,22,X,0.597558,X,X,X,X,X,X,23,9,3849
States,Washington,2019,23,X,0.543607,X,X,X,X,X,X,23,19,4231
States,Washington,2019,24,X,0.342827,X,X,X,X,X,X,13,9,3792
States,Washington,2019,25,X,0.260213,X,X,X,X,X,X,10,9,3843
States,Washington,2019,26,X,0.182959,X,X,X,X,X,X,7,19,3826
States,Washington,2019,27,X,0.539926,X,X,X,X,X,X,19,15,3519
States,Washington,2019,28,X,0.353838,X,X,X,X,X,X,13,19,3674
States,Washington,2019,29,X,0.265041,X,X,X,X,X,X,10,19,3773
States,Washington,2019,30,X,0.344645,X,X,X,X,X,X,13,19,3772
States,Washington,2019,31,X,0.184648,X,X,X,X,X,X,7,19,3791
States,Washington,2019,32,X,0.238347,X,X,X,X,X,X,9,19,3776
States,Washington,2019,33,X,0.075358,X,X,X,X,X,X,3,19,3981
States,Washington,2019,34,X,0.374614,X,X,X,X,X,X,17,19,4538
States,Washington,2019,35,X,0.0886328,X,X,X,X,X,X,4,19,4513
States,Washington,2019,36,X,0.173498,X,X,X,X,X,X,8,19,4611
States,Washington,2019,37,X,0.274958,X,X,X,X,X,X,13,15,4728
States,Washington,2019,38,X,0,X,X,X,X,X,X,0,15,1399
States,Washington,2019,39,X,0.489967,X,X,X,X,X,X,21,7,4286
